V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
0.426777251,0.349549763,0.410308057,0.228412322,0.409123223,0.734810427,0.413815166,0.666066351,0.459312796,0.388364929,0.688104265,0.627654028,0.437085308,0.577132701,0.501729858,0.492701422,0.433388626,0.367606635,0.400521327,0.59521327,0.490592417,0.37478673,0.429478673,0.558933649,0.374004739,0.451421801,0.451611374,0.568341232,0.465616114,0.482535545,0.54992891,0.368578199,0.430829384,0.661848341,0.703412322,0.762464455,0.664052133,0.437156398,0.422654028,0.313530806,0.258649289,0.703293839,0.239004739,0.398886256,0.547796209,0.376066351,0.272511848,0.359241706,0.21992891,RR
0.425106383,0.347825059,0.407990544,0.23250591,0.407943262,0.734160757,0.414586288,0.66643026,0.456997636,0.388297872,0.687163121,0.626808511,0.434444444,0.574397163,0.505059102,0.490496454,0.432411348,0.366146572,0.40070922,0.595933806,0.487895981,0.374160757,0.426643026,0.559905437,0.37787234,0.453049645,0.451536643,0.570496454,0.46177305,0.479669031,0.550638298,0.370803783,0.43,0.660874704,0.702009456,0.760661939,0.664137116,0.435579196,0.419952719,0.313900709,0.257683215,0.705177305,0.2378487,0.3978487,0.548841608,0.376595745,0.274704492,0.361229314,0.219550827,RR
0.439671362,0.3492723,0.414741784,0.211619718,0.410657277,0.735938967,0.395234742,0.658943662,0.47056338,0.374248826,0.702464789,0.6492723,0.443896714,0.597723005,0.489107981,0.495399061,0.43629108,0.376549296,0.384530516,0.58556338,0.511197183,0.383215962,0.436924883,0.561314554,0.362793427,0.445164319,0.438004695,0.555117371,0.476690141,0.493521127,0.528638498,0.351197183,0.419953052,0.686971831,0.726995305,0.785070423,0.684671362,0.429577465,0.432300469,0.292910798,0.247723005,0.703685446,0.243591549,0.402816901,0.543896714,0.361502347,0.250704225,0.3342723,0.223356808,RR
0.448218391,0.329559387,0.432490421,0.2298659,0.429731801,0.755383142,0.402720307,0.65835249,0.465038314,0.385574713,0.683716475,0.654750958,0.456762452,0.612126437,0.510766284,0.503007663,0.406628352,0.35454023,0.395996169,0.560766284,0.518678161,0.383697318,0.454980843,0.579425287,0.328927203,0.482203065,0.44697318,0.59059387,0.48532567,0.505498084,0.540191571,0.349348659,0.434099617,0.67454023,0.714386973,0.767049808,0.670613027,0.443084291,0.434770115,0.300938697,0.249731801,0.707011494,0.236168582,0.393199234,0.554252874,0.364176245,0.280076628,0.35210728,0.224904215,RR
0.45184,0.3303,0.43328,0.22584,0.4322,0.75558,0.40114,0.65878,0.46702,0.38546,0.68328,0.65692,0.4579,0.61454,0.50958,0.50398,0.40616,0.355,0.39576,0.56024,0.52036,0.38282,0.45684,0.57932,0.32622,0.4818,0.4469,0.5903,0.48686,0.5072,0.5399,0.34864,0.43432,0.67788,0.7171,0.76972,0.6727,0.44348,0.43716,0.29752,0.24772,0.70734,0.23514,0.39254,0.55476,0.3624,0.2768,0.3512,0.2225,RR
0.439671362,0.3492723,0.414741784,0.211619718,0.410657277,0.735938967,0.395234742,0.658943662,0.47056338,0.374248826,0.702464789,0.6492723,0.443896714,0.597723005,0.489107981,0.495399061,0.43629108,0.376549296,0.384530516,0.58556338,0.511197183,0.383215962,0.436924883,0.561314554,0.362793427,0.445164319,0.438004695,0.555117371,0.476690141,0.493521127,0.528638498,0.351197183,0.419953052,0.686971831,0.726995305,0.785070423,0.684671362,0.429577465,0.432300469,0.292910798,0.247723005,0.703685446,0.243591549,0.402816901,0.543896714,0.361502347,0.250704225,0.3342723,0.223356808,RR
0.449822835,0.33234252,0.436437008,0.222362205,0.430098425,0.756279528,0.40007874,0.66023622,0.469665354,0.384409449,0.686850394,0.658346457,0.46023622,0.61738189,0.509389764,0.506496063,0.40480315,0.353582677,0.394724409,0.557598425,0.524192913,0.387874016,0.45996063,0.580846457,0.325177165,0.481279528,0.446240157,0.588877953,0.490059055,0.509468504,0.538622047,0.345492126,0.43515748,0.680944882,0.720216535,0.772637795,0.67484252,0.443366142,0.439350394,0.295413386,0.24773622,0.705590551,0.236751969,0.394311024,0.552933071,0.361614173,0.27519685,0.349212598,0.222913386,RR
0.450781563,0.331422846,0.433907816,0.226012024,0.431042084,0.756873747,0.39995992,0.657855711,0.466773547,0.384208417,0.685150301,0.658436874,0.458396794,0.616072144,0.509118236,0.503026052,0.407334669,0.355951904,0.394268537,0.560701403,0.522144289,0.384849699,0.458076152,0.579839679,0.325671343,0.481302605,0.445571142,0.589218437,0.487835671,0.507795591,0.538416834,0.347134269,0.433747495,0.679378758,0.718697395,0.771382766,0.674228457,0.44240481,0.437154309,0.296432866,0.24751503,0.706793587,0.235791583,0.393507014,0.553687375,0.361322645,0.2749499,0.3498998,0.223687375,RR
0.451676647,0.329281437,0.432315369,0.225449102,0.432055888,0.755728543,0.400578842,0.657245509,0.466087824,0.384311377,0.683033932,0.657025948,0.457684631,0.614451098,0.507185629,0.503433134,0.408762475,0.357345309,0.39497006,0.561856287,0.52003992,0.382095808,0.456447106,0.577804391,0.325129741,0.480878244,0.446007984,0.588423154,0.486886228,0.506926148,0.538942116,0.348542914,0.433313373,0.677205589,0.716626747,0.769401198,0.67253493,0.442794411,0.435988024,0.298083832,0.247684631,0.707844311,0.23497006,0.39237525,0.55493014,0.361876248,0.276247505,0.350898204,0.223592814,RR
0.439297424,0.348454333,0.414192037,0.211288056,0.410538642,0.736065574,0.39559719,0.65882904,0.470374707,0.374332553,0.701826698,0.648735363,0.443302108,0.596838407,0.489297424,0.495526932,0.436370023,0.376299766,0.384754098,0.586088993,0.51030445,0.382669789,0.436346604,0.561194379,0.362997658,0.445831382,0.438149883,0.55557377,0.475854801,0.493067916,0.528969555,0.351779859,0.419906323,0.686112412,0.726276347,0.784449649,0.684192037,0.429344262,0.431358314,0.293606557,0.247728337,0.704262295,0.243419204,0.402435597,0.544355972,0.361826698,0.251522248,0.334894614,0.223466042,RR
